Author,Article_Title,Article_Content,Published_At
Nan,Study red meat not so bad Canada News Castanetnet,A Canadian researcher who coled a study that challenges wellworn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industryDalhousie Universitys Bradley Johnston said Saturday tha 2269 chars,20191006T135500Z
Nan,Scientist faces criticism on red meat study Waterloo Chronicle,HALIFAX A Canadian researcher who coled a study that challenges wellworn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industryDalhousie Universitys Bradley Johnston said Satu 1334 chars,20191006T030646Z
Jon Evans,Armenia and the technology of diaspora,Its a tough world out there for small countries Technology is the future everyone knows that but how do you claim your share of that future when youre competing with America China the EU and IndiaHow do you build a thriving ecosystem of tech wealth 3095 chars,20191007T185330Z
Lilit Marcus,The Toronto restaurant with a secret sake menu,CNN For some chefs owning and operating a successful restaurant is achievement enoughBut for Mitch Bates owner of upscale Toronto restaurant Grey Gardens food and drink are never something you can stop learning aboutThe Americanborn chef honed his 1539 chars,20191011T070151Z
Shawn Jeffords and Nicole Thompson,Hundreds of Ontario schools will remain open after deal struck between province union CTV News,TORONTO A strike that would have closed hundreds of schools across Ontario was averted Sunday night as the province reached a tentative deal with the union representing thousands of education workersEducation Minister Stephen Lecce and the bargaining un 4394 chars,20191007T003000Z
The Conversation,Decision to deploy genetically modified mosquitoes not made responsibly researchers say HalifaxTodayca,This article written byNatalie Kofler University of Illinois at UrbanaChampaign Franoise Baylis Dalhousie University Graham Dellaire Dalhousie University and Landon J Getz Dalhousie University originally appeared on The Conversation and has been r 8654 chars,20191014T155300Z
Christine Fisher,Howard University and Amazon want to diversify the entertainment industry,The new program will send students to Los Angeles for two semesters the second of which will include a fellowship in the industry Students interested in all aspects of entertainment project greenlighting PR and marketing entertainment law and finance 751 chars,20191011T142300Z
Michelle McQuigge,Mother of slain Hamilton teen says everyone failed her son The Globe and Mail,ShariAnn BracciSelvey centre fights back tears at a vigil for her 14yearold murdered son Devan Selvey at his high school Sir Winston Churchill Secondary School in Hamilton Ont on Oct 9 2019 The Canadian PressA mother who witnessed her son 3708 chars,20191009T162640Z
Staff,Canada election What federal leaders have pledged on the economy Global News,Federal parties vying for victoryon Oct 21 are making a range of promises on how they will better the economyLiberal LeaderJustin Trudeau the ConservativesAndrew Scheer New DemocratJagmeet Singh Bloc Qubcois LeaderYvesFranois Blanchet and the 9525 chars,20191010T124454Z
Kirsten Korosec,Uber Freight expands app to Canada,Uber Freight the Uber business unit that helps truck drivers connect with shipping companies said Wednesday its launching the app in Canada as part of its global expansion planThe move into Canada will give Uber Freight access to the countrys 68 billi 2181 chars,20191030T113716Z
Melanie Woods,Conservative Leader Andrew Scheer Has US Citizenship Planning To Renounce HuffPost Canada,BEDFORD NS Conservative Leader Andrew Scheer says he never spoke publicly about being a dual CanadianUnited States citizen because no one ever asked himEven when his colleagues were attacking politicians from other parties for their dual citizenships 2810 chars,20191003T212350Z
Jonathan Shieber,McDonalds starts selling its Beyond Meatbased PLT sandwich in Canada,McDonalds first foray into the plantbased protein patty market in North America is launching today in CanadaThe companys PLT plant lettuce and tomato sandwich which uses patties from Beyond Meat is now on sale at several locations in Canada 3697 chars,20190930T142014Z
Michael MacDonald,Liberals bracing for losses in Atlantic Canada as polls open on the East Coast CTV News,HALIFAX Four years after Atlantic Canadians gave Justin Trudeau a sweeping electoral endorsement handing his Liberals all 32 of the regions seats the party is bracing for losses that could have a significant impact on the final tally later tonight 3201 chars,20191021T205600Z
Reuters Editorial,Factbox Key seats to watch in Canadas federal election,TORONTO Reuters As Canadians head to polls on Monday Prime Minister Justin Trudeaus Liberals are neckandneck with Andrew Scheers Conservative Party in national opinion polls The New Democratic Party NDP led by Jagmeet Singh and the Green Party led 5539 chars,20191021T150256Z
Nan,BONOKOSKI Trudeaus egodriven foreign aid exposed by cavalier 50M tweets Toronto Sun,One suspects thousands if not millions in Canada and around the world who are Twitter addicts spewed their coffees halfway across the room when Justin Trudeau as prime minister blasely sent out his tweet to comedian Trevor Noah pledging 50 million of our 3628 chars,20191004T034600Z
Nan,Western Canada Kenney fulfills promise of restraint with budget and goes further The Globe and Mail,Good morning Its James Keller in CalgaryAlberta Premier Jason Kenney had been foreshadowing this since before he was elected his governments first budget would be a tough oneDuring the spring election campaign Mr Kenney said a United Conservative go 8875 chars,20191026T125131Z
George Gene Gustines,Shes 8 Years Old Her Superpower Creating AntiBullying Comics,Jennifer Gilbert was there with her son Jackson 9 a seasoned fan of Star Wars and Marvel Comics Mrs Gilbert discovered Loot over Labor Day weekend and Jackson has become a onceaweek regular She has seen the benefit of him finding peers with common int 2032 chars,20191002T163250Z
Nan,Aphria Inc Announces Second Consecutive Quarter of Profitability and Positive Adjusted EBITDA Canada NewsWire,Net Income Increases 45 and Adjusted EBITDA Increases Fourfold from the Prior QuarterAdultUse Cannabis Revenue Increases 8 from Prior QuarterMaintains Strong Balance Sheet and Cash Position to Support Future Growth Reiterates Fiscal Year 2020 OutlookLE 27878 chars,20191015T110000Z
