Term,Canada,,
canada appeared in 150 documents,Total words (m),Frequency (f),Relative frequency (Rf)
article-5.txt,108,1,0.009259259
article-6.txt,88,2,0.022727273
article-7.txt,88,1,0.011363636
article-26.txt,79,1,0.012658228
article-28.txt,81,3,0.037037037
article-33.txt,72,1,0.013888889
article-44.txt,85,2,0.023529412
article-50.txt,77,1,0.012987013
article-54.txt,74,1,0.013513514
article-56.txt,105,1,0.00952381
article-58.txt,71,2,0.028169014
article-61.txt,85,2,0.023529412
article-62.txt,77,2,0.025974026
article-64.txt,60,1,0.016666667
article-66.txt,76,1,0.013157895
article-69.txt,72,1,0.013888889
article-70.txt,72,1,0.013888889
article-72.txt,85,2,0.023529412
article-75.txt,76,1,0.013157895
article-77.txt,84,1,0.011904762
article-100.txt,81,2,0.024691358
article-101.txt,98,1,0.010204082
article-116.txt,99,5,0.050505051
article-122.txt,74,2,0.027027027
article-137.txt,104,4,0.038461538
article-141.txt,106,4,0.037735849
article-145.txt,97,3,0.030927835
article-149.txt,89,3,0.033707865
article-150.txt,66,1,0.015151515
article-160.txt,73,2,0.02739726
article-163.txt,97,3,0.030927835
article-164.txt,97,3,0.030927835
article-166.txt,94,2,0.021276596
article-178.txt,66,2,0.03030303
article-179.txt,91,4,0.043956044
article-181.txt,103,2,0.019417476
article-182.txt,103,2,0.019417476
article-184.txt,96,2,0.020833333
article-197.txt,74,1,0.013513514
article-198.txt,69,2,0.028985507
article-199.txt,70,2,0.028571429
article-200.txt,40,1,0.025
article-201.txt,111,1,0.009009009
article-202.txt,77,1,0.012987013
article-203.txt,81,2,0.024691358
article-204.txt,114,2,0.01754386
article-205.txt,87,2,0.022988506
article-206.txt,101,2,0.01980198
article-207.txt,95,2,0.021052632
article-208.txt,78,2,0.025641026
article-210.txt,90,2,0.022222222
article-212.txt,102,2,0.019607843
article-213.txt,108,1,0.009259259
article-214.txt,99,5,0.050505051
article-215.txt,94,5,0.053191489
article-216.txt,104,1,0.009615385
article-217.txt,96,5,0.052083333
article-218.txt,96,6,0.0625
article-219.txt,57,3,0.052631579
article-220.txt,81,3,0.037037037
article-223.txt,96,5,0.052083333
article-224.txt,98,2,0.020408163
article-225.txt,95,6,0.063157895
article-226.txt,108,3,0.027777778
article-227.txt,84,5,0.05952381
article-228.txt,98,6,0.06122449
article-229.txt,108,2,0.018518519
article-232.txt,91,1,0.010989011
article-233.txt,87,3,0.034482759
article-234.txt,93,7,0.075268817
article-235.txt,95,2,0.021052632
article-236.txt,87,3,0.034482759
article-237.txt,101,1,0.00990099
article-238.txt,42,2,0.047619048
article-239.txt,96,5,0.052083333
article-240.txt,69,2,0.028985507
article-241.txt,78,2,0.025641026
article-242.txt,86,2,0.023255814
article-243.txt,105,1,0.00952381
article-244.txt,73,2,0.02739726
article-245.txt,73,2,0.02739726
article-246.txt,93,3,0.032258065
article-247.txt,96,2,0.020833333
article-248.txt,78,2,0.025641026
article-250.txt,99,2,0.02020202
article-251.txt,96,1,0.010416667
article-252.txt,97,2,0.020618557
article-253.txt,110,1,0.009090909
article-254.txt,98,1,0.010204082
article-255.txt,97,3,0.030927835
article-256.txt,93,5,0.053763441
article-257.txt,93,2,0.021505376
article-258.txt,107,3,0.028037383
article-259.txt,76,2,0.026315789
article-260.txt,70,2,0.028571429
article-261.txt,109,3,0.027522936
article-262.txt,107,2,0.018691589
article-263.txt,97,3,0.030927835
article-264.txt,63,2,0.031746032
article-265.txt,78,2,0.025641026
article-268.txt,96,1,0.010416667
article-269.txt,94,1,0.010638298
article-270.txt,104,4,0.038461538
article-271.txt,97,2,0.020618557
article-273.txt,97,1,0.010309278
article-274.txt,97,2,0.020618557
article-275.txt,79,1,0.012658228
article-276.txt,89,2,0.02247191
article-278.txt,98,2,0.020408163
article-279.txt,103,2,0.019417476
article-280.txt,107,2,0.018691589
article-281.txt,95,5,0.052631579
article-282.txt,94,3,0.031914894
article-283.txt,98,2,0.020408163
article-284.txt,95,2,0.021052632
article-286.txt,105,2,0.019047619
article-287.txt,93,2,0.021505376
article-288.txt,84,1,0.011904762
article-289.txt,89,1,0.011235955
article-290.txt,97,3,0.030927835
article-291.txt,97,2,0.020618557
article-292.txt,96,2,0.020833333
article-293.txt,79,1,0.012658228
article-294.txt,109,4,0.036697248
article-295.txt,96,3,0.03125
article-296.txt,114,3,0.026315789
article-397.txt,90,2,0.022222222
article-401.txt,96,1,0.010416667
article-403.txt,99,1,0.01010101
article-407.txt,96,1,0.010416667
article-408.txt,86,2,0.023255814
article-423.txt,64,1,0.015625
article-424.txt,64,1,0.015625
article-427.txt,64,1,0.015625
article-436.txt,67,1,0.014925373
article-442.txt,98,1,0.010204082
article-443.txt,91,3,0.032967033
article-444.txt,83,2,0.024096386
article-445.txt,86,2,0.023255814
article-446.txt,76,1,0.013157895
article-447.txt,75,2,0.026666667
article-451.txt,62,1,0.016129032
article-456.txt,94,2,0.021276596
article-457.txt,65,2,0.030769231
article-467.txt,94,5,0.053191489
article-472.txt,108,1,0.009259259
article-477.txt,88,1,0.011363636
article-479.txt,82,2,0.024390244
article-490.txt,86,2,0.023255814
article-493.txt,74,5,0.067567568
