tweet,message,match,polarity
0,"Tweet_Text,,
",,Neutral
1,"4 takeaways from an exterminator about bedbug infestations CBC News,,
",,Neutral
2,"StrokerAceKid LetterkennyProb Oh Canada my home and native land,,
",,Neutral
3,"RT Mosquebased magazine in Canada runs a hateful article by a Holocaust Denier BnaiBrithCanada,,
",hateful,Negative
4,"A buck eachThats how much the City of Vancouver wants to pay to expropriate two Downtown Eastside buildings both of which have sat empty for more than a year after they were shut down due to dozens of health and safety violations,,
",expropriate,Negative
5,"And California is still on fire This is what climate change looks like Stop taking leisure flights Stop driving fossil fuel vehicles,,
",like,Positive
6,"RT An interesting threadIm reminded of DougSaunders observation in MaximumCanada that a Canada w 100 million residents living on the strip of land that we have already urbanized the bit hugging the US border would give us a similar population density as Spain or Romania,,
",interesting,Positive
7,"RT Goats save libraryThat is all,,
",,Neutral
8,"RT 23 Countries Blast China at UN Over Xinjiang AbusesAlbaniaAustraliaAustriaBelgiumCanadaDenmarkEstoniaFinlandFranceGermanyIcelandIrelandJapanLatviaLiechtensteinLithuaniaLuxembourgThe NetherlandsNew ZealandNorwaySwedenUKUS,,
",,Neutral
9,"RT PM JustinTrudeau s policies harm Canadas economy are divisive amp disproportionately damage Alberta Trudeau must change course amp act to restore confidence in Canada for oil and gas investment and development for the good of the economy amp for the good of the country 24,,
",harm,Negative
9,"RT PM JustinTrudeau s policies harm Canadas economy are divisive amp disproportionately damage Alberta Trudeau must change course amp act to restore confidence in Canada for oil and gas investment and development for the good of the economy amp for the good of the country 24,,
",divisive,Negative
9,"RT PM JustinTrudeau s policies harm Canadas economy are divisive amp disproportionately damage Alberta Trudeau must change course amp act to restore confidence in Canada for oil and gas investment and development for the good of the economy amp for the good of the country 24,,
",damage,Negative
9,"RT PM JustinTrudeau s policies harm Canadas economy are divisive amp disproportionately damage Alberta Trudeau must change course amp act to restore confidence in Canada for oil and gas investment and development for the good of the economy amp for the good of the country 24,,
",confidence,Positive
9,"RT PM JustinTrudeau s policies harm Canadas economy are divisive amp disproportionately damage Alberta Trudeau must change course amp act to restore confidence in Canada for oil and gas investment and development for the good of the economy amp for the good of the country 24,,
",good,Positive
10,"RT Twitter Im only telling you this bc in the Referendum my flatmates were from NZ Canada amp Australia and NONE of them knew they were allowed to voteSoYOU KNOW YOU CAN VOTE ON DEC 12th IF YOURE A COMMONWEATH CITIZEN IN THE UK RIGHT Register here,,
",,Neutral
11,"RT Initial filings from Elections Canada submitted 1 week before election showed unions spent close to 25 million and counting to either ensure a Trudeau victory or a Conservative defeatLILLEY Trudeaus election win came with an assist from Big Labour,,
",victory,Positive
11,"RT Initial filings from Elections Canada submitted 1 week before election showed unions spent close to 25 million and counting to either ensure a Trudeau victory or a Conservative defeatLILLEY Trudeaus election win came with an assist from Big Labour,,
",win,Positive
12,"RT kimsiever jkenney Wow who could have seen that coming Other than the rest of Canada that is,,
",,Neutral
13,"Great news story by CBCNews about a school in Nova Scotia that is dealing with students who misbehave by having a talking circle The goal is to mediate and repair the relationship between the offender and the victim 5324Educator ghobhainn,,
",misbehave,Negative
13,"Great news story by CBCNews about a school in Nova Scotia that is dealing with students who misbehave by having a talking circle The goal is to mediate and repair the relationship between the offender and the victim 5324Educator ghobhainn,,
",offender,Negative
14,"RT Mengs lawyers still say RCMP shared phone details with FBI despite affidavits,,
",,Neutral
15,"RT CERGrant says the EU says Canada isnt a threat in terms of trade but Britain is right on our doorstep and is a threat Britain will get less than a Canadastyle deal WhatNextBrexit,,
",threat,Negative
15,"RT CERGrant says the EU says Canada isnt a threat in terms of trade but Britain is right on our doorstep and is a threat Britain will get less than a Canadastyle deal WhatNextBrexit,,
",right,Positive
16,"RT Always a pleasure to see my friend Canadas 20th Prime Minister Mr Jean Chrtien,,
",pleasure,Positive
17,"JeffreyGuterman Respect from Canada,,
",,Neutral
18,"RT Grandfather charged with negligent homicide in toddlers fatal fall from cruise ship,,
",negligent,Negative
18,"RT Grandfather charged with negligent homicide in toddlers fatal fall from cruise ship,,
",fatal,Negative
18,"RT Grandfather charged with negligent homicide in toddlers fatal fall from cruise ship,,
",fall,Negative
19,"RT Even his own staff cant stand him Offhand promises force his staff to work overtime to walk back his remarksDoes this remind you of anyone onpoli cdnpoli,,
",promises,Positive
19,"RT Even his own staff cant stand him Offhand promises force his staff to work overtime to walk back his remarksDoes this remind you of anyone onpoli cdnpoli,,
",work,Positive
20,"RT Unravelling BCs landmark legislation on Indigenous rights the new law will make BC the first gov in Canada to codify the UNDRIP Once implemented it will significantly alter the way major resource projects are approached on Indigenous territories,,
",,Neutral
21,"RT Canada is only country in world that doesnt protect its own domestic energy security Government unwisely puts nations fate in the hands of more unsavoury options,,
",protect,Positive
21,"RT Canada is only country in world that doesnt protect its own domestic energy security Government unwisely puts nations fate in the hands of more unsavoury options,,
",unwisely,Negative
22,"RT John Bolton summoned to Trump impeachment inquiry Via BBC,,
",,Neutral
23,"RT WakeUpCanada1 Is he one of our ISIS fighters from Canada,,
",,Neutral
24,"RT Trudeau SNCLavalin was going to leave Canada so I tried to stop their prosecution SNC No we werent Trudeau JobsEncana actually leaves CanadaTrudeau,,
",,Neutral
25,"thinkingpanda This applies to everywhere in world even Canada Its not acceptable to do something like that,,
",like,Positive
26,"RT Did you hear the news The NorvinaCollection has its very own endcap in Sephora and Sephora Canada starting TODAY 1031 Stop by your nearest Sephora store and drop a pic of the display in the comments below,,
",,Neutral
27,"RT Our Administration traveled across the country promoting a trade deal that will greatly benefit Americas farmers ranchers and manufacturers a trade deal that has been sitting on Speaker Pelosis desk for over a YEAR,,
",benefit,Positive
28,"RT Chinas Peoples Liberation Army PLA veterans have a chorus in Canada where they celebrate the forces that executed the Tiananmen Square massacre This is not a joke,,
",celebrate,Positive
28,"RT Chinas Peoples Liberation Army PLA veterans have a chorus in Canada where they celebrate the forces that executed the Tiananmen Square massacre This is not a joke,,
",massacre,Negative
29,"Is it weird that Id like to visit one of these,,
",weird,Negative
29,"Is it weird that Id like to visit one of these,,
",like,Positive
30,"I bet JustinTrudeau threw the letter straight in the trash PremierScottMoeIts OBVIOUS that Ottawa doesnt want to hear from the West Stop playing softball and lob one at em,,
",trash,Negative
31,"RT Canada is the only country in the world trying to shut down its energy production and everyone else is expanding WHY IS THAT,,
",,Neutral
32,"iammenial YES I got them while I was in Canada amp have kept them specifically for photos with minis,,
",,Neutral
33,"RT We could have better trade relations with Canada and Mexico but Pelosi is infatuated with impeachment We could have our military properly funded but Pelosi is infatuated with impeachment SteveScalise points out the House isnt doing the Peoples Business realDonaldTrump,,
",better,Positive
33,"RT We could have better trade relations with Canada and Mexico but Pelosi is infatuated with impeachment We could have our military properly funded but Pelosi is infatuated with impeachment SteveScalise points out the House isnt doing the Peoples Business realDonaldTrump,,
",properly,Positive
34,"Video by upscale Toronto bistro says its being eaten alive by rising property taxes GoogleAlerts,,
",upscale,Positive
35,"RT Fmr Encana CEO Gwyn Morgan The past few years have been a nightmare for the Canadian industry where every light at the end of the tunnel has turned out to be train driven by Prime Minister Justin Trudeau barrelling at us from the opposite direction,,
",nightmare,Negative
36,"RT Was this attempt at an ordinary robbery a hate crime or a terrorist attack,,
",hate,Negative
36,"RT Was this attempt at an ordinary robbery a hate crime or a terrorist attack,,
",crime,Negative
37,"RT fern60 SusanIverach AlbSeparation Canada heading for a FIRESALE status thanks to Trudeau,,
",,Neutral
38,"1 hour at the rink down shortage on kids because they are acquiring candyGet to the rink Canada hockey youth halloween2019 happyhalloween,,
",shortage,Negative
39,"BBC News Meghan Murphy Canadian feminists trans talk sparks uproar,,
",,Neutral
40,"RT When Western Canada succeeds Canada succeedscdnpoli,,
",succeeds,Positive
